Fecha,Rutina,Grupo,Ejercicio,S1PESO,S1Reps,S2PESO,S2Reps,S3PESO,S3Reps,S4PESO,S4Reps
8/7/2026,Push,Pecho,press de pecho,45,8,45,8,45,6,,
8/7/2026,Push,Pecho,inclinado,25,8,35,8,35,8,,
8/7/2026,Push,Pecho,Peck deek,100,7,100,6,100,7,,
8/7/2026,Push,Hombro,press de pecho mancuerna,40,8,40,7,40,6,,
8/7/2026,Push,Tricep,Copa,45,8,45,8,45,8,,
8/7/2026,Push,Tricep,Tricep,50,8,60,8,70,8,,
8/7/2026,Push,Hombro,Elevaciones laterales,20,8,20,6,20,6,,
10/7/2026,Pull,Espalda,Dominadas,80,8,80,8,80,8,,
10/7/2026,Pull,Espalda,Remo,120,7,140,8,160,6,,
10/7/2026,Pull,Espalda,Peck deek invertido,90,8,105,8,110,8,,
10/7/2026,Pull,Bicep,Martillo,25,8,25,8,25,8,,
10/7/2026,Pull,Bicep,curl con barra z,25,8,25,6,25,6,,
10/7/2026,Pull,Tricep,Fondos,60,12,60,11,60,8,,
11/7/2026,Legs,Pierna,Sentadilla,25,8,45,8,70,7,,
11/7/2026,Legs,Pierna,Peso muerto,45,8,70,8,80,8,,
11/7/2026,Legs,Pierna,Curl femoral,60,8,75,8,90,7,,
11/7/2026,Legs,Pierna,Abductores,60,8,75,8,80,8,,
11/7/2026,Legs,Pierna,Aductores,75,8,90,8,105,8,,
11/7/2026,Legs,Pierna,Pantorilla,110,8,130,8,145,6,,
18/7/2026,Push,Pecho,press de pecho,45,8,45,8,55,7,,
18/7/2026,Push,Pecho,inclinado,25,8,35,8,35,8,,
18/7/2026,Push,Pecho,Peck deek,100,8,100,8,100,6,,
18/7/2026,Push,Hombro,press de pecho mancuerna,45,7,45,6,45,6,,
18/7/2026,Push,Tricep,Copa,50,7,50,7,50,6,,
18/7/2026,Push,Tricep,Tricep,60,8,60,8,80,5,,
18/7/2026,Push,Hombro,Elevaciones laterales,20,8,20,6,20,7,,
21/7/2026,Pull,Espalda,Dominadas,80,8,95,8,120,6,,
21/7/2026,Pull,Espalda,Remo,,,140,,,,,
21/7/2026,Pull,Espalda,Peck deek invertido,105,8,120,8,135,6,,
21/7/2026,Pull,Bicep,Martillo,30,8,30,8,30,8,,
21/7/2026,Pull,Bicep,curl con barra z,30,7,25,6,25,6,,
